Nom,Description,Photo
,,
,,
IG Media,,https://m.media-amazon.com/images/S/amzn-author-media-prod/ihcdde44dr4qblkflu3a73j6uf._SY600_.jpg
Jessie Inchauspé,"Jessie Inchauspé est biochimiste, chercheuse en nutrition et spécialiste de la vulgarisation scientifique. Elle est française et vit aux États-Unis. Elle apprend quotidiennement à sa communauté Instagram @glucosegoddess comment lisser sa courbe de glycémie dans toutes les situations de la vie.",https://m.media-amazon.com/images/S/amzn-author-media-prod/f81u3u94dv0apd80u94utsmr96._SY600_.jpg
Jessie Inchauspé,"Jessie Inchauspé est une biochimiste et vulgarisatrice scientifique française. Son premier livre, Faites votre glucose révolution, s'est vendu à plus d'un million d'exemplaires dans le monde et a été traduit dans quarante langues. Sur son compte Instagram @glucosegoddess, elle partage ses recherches avec plus de deux millions d'abonnés. Elle est titulaire d'une licence en mathématiques du King's College de Londres et d'un master en biochimie de l'université Georgetown.",https://m.media-amazon.com/images/S/amzn-author-media-prod/f81u3u94dv0apd80u94utsmr96._SY600_.jpg
Réginald Allouche,"Le Dr Réginald Allouche est médecin, ingénieur biomédical et chercheur dans le domaine de la prévention du diabète et du surpoids. Il est l'auteur de nombreux articles scientifiques portant sur la prévention du diabète de type 2, de l'addiction au sucre, et de plusieurs livres parmi lesquels La Nouvelle Méthode Antidiabète (2022, Flammarion). Il est aussi membre du comité scientifique de Santé Magazine.",https://m.media-amazon.com/images/I/91n2PrOhUpL._SY600_.jpg
,,
Nelly Genisson,"Co-animatrice du site EatFat2BeFit dédié à l'alimentation cétogène.

Co-animateur du site EatFat2BeFit dédié à l'alimentation cétogène.",
Jimmy Mohamed,Jimmy Mohamed est médecin pour SOS Médecins. Il est également chroniqueur à la télévision.,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
J.B. Rives,,https://m.media-amazon.com/images/I/A1-JlIX+uPL._SY600_.jpg
Florence Delorme,"Florence Delorme publie en 2012 ""Le Secret du Poids"" : un livre qui enseigne comment gérer son poids sans se priver. Cet ouvrage est associé à une application pour Smartphone se nommant également ""Le Secret du Poids"", téléchargée à ce jour plus de 4,8 millions de fois. (""The Secret of Weight"" en version anglaise). Un groupe Facebook éponyme compte également 260 000 membres. Le Secret du Poids est devenu un véritable phénomène, incontournable dans le domaine du poids et du régime, même si ça n'est pas vraiment un régime, mais davantage un ré équilibrage alimentaire. Le Secret du Poids est un livre ""ovni"" qui ne ressemble à aucun autre sur le même thème, et qui a su séduire des dizaines de milliers de lecteurs.",https://m.media-amazon.com/images/S/amzn-author-media-prod/685n8j79aqn0jovdt8db9a2qf1._SY600_.jpg
,,
Réginald Allouche,"Le Dr Réginald Allouche est médecin, ingénieur biomédical et chercheur dans le domaine de la prévention du diabète et du surpoids. Il est l'auteur de nombreux articles scientifiques portant sur la prévention du diabète de type 2, de l'addiction au sucre, et de plusieurs livres parmi lesquels La Nouvelle Méthode Antidiabète (2022, Flammarion). Il est aussi membre du comité scientifique de Santé Magazine.",https://m.media-amazon.com/images/I/91n2PrOhUpL._SY600_.jpg
