Nom,Description,Photo
Michel Onfray,"Michel Onfray est docteur en philosophie. Il a construit son oeuvre autour des thèmes de l&#39hédonisme, de l&#39athéisme et de la construction de soi. Auteur, il a publié plus de cent livres, traduits dans de nombreux pays. Fondateur de l&#39Université populaire de Caen en 2002, il a plus récemment lancé deux médias indépendants : le site michelonfray.com et la revue Front populaire.
Chez Albin Michel, il a notamment publié Sagesse (2019) et le beau livre Les raisons de l&#39art (2021).",
Éric-Emmanuel Schmitt,"Ses livres, traduits en quarante-six langues, atteignent des tirages vertigineux et ses pièces sont jouées régulièrement dans plus de cinquante pays : Éric-Emmanuel Schmitt est l’un des auteurs francophones les plus lus et les plus représentés dans le monde. Il est aussi l’auteur le plus étudié dans les collèges et les lycées. Né en 1960 à Lyon, cet agrégé de philosophie, docteur en philosophie, normalien de la rue d’Ulm, auteur d’une thèse sur Diderot, s’est d’abord fait connaître au théâtre en 1991 avec La Nuit de Valognes, son premier grand succès. Il n’arrêtera plus. Non seulement les plus grands acteurs ont interprété ou interprètent ses pièces – Belmondo, Delon, Francis Huster, Jacques Weber, Charlotte Rampling et tant d’autres –, mais le Grand Prix de l’Académie française couronne l’ensemble de son œuvre théâtrale dès 2001. Romancier lumineux, conteur hors pair, amoureux de musique, Éric-Emmanuel Schmitt fait passer une émotion teintée de douceur et de poésie dans tous les arts. Il est à la fois scénariste, réalisateur, signe la traduction française d’opéras, sourit à la BD et monte lui-même sur scène pour interpréter ses textes ou accompagner un pianiste ou une soprano… En 2012, l’Académie royale de la langue et littérature françaises de Belgique lui offre le fauteuil n° 33, occupé avant lui par Colette et Cocteau. En 2016, il a été élu à l’unanimité par ses pairs comme membre du jury Goncourt.",https://m.media-amazon.com/images/I/616TUy8QNoL._SY600_.jpg
Jean-Paul Brighelli,"Né à Marseille en 1953, normalien, agrégé de Lettres, Jean-Paul Brighelli a enseigné pendant 45 ans au collège, au lycée puis en classes préparatoires. Il est l&#39auteur de nombreux essais, dont le bestseller La Fabrique du crétin (J.-C. Gawsewitch, 2005).",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Collectif,"Ce livre a été initié et dirigé par Julia Kerninon. Autrice de cinq romans et deux récits autobiographiques, dont l&#39immense succès Liv Maria, elle écrit sur la complexité des vies de femmes, leur volonté de tout vivre, leurs ambitions, l&#39amour et la confrontation avec la trivialité du quotidien. Elle croit à l&#39union des voix, à la capacité de la littérature à transformer la réalité.",
Sarah Bouasse,"Journaliste, autrice et traductrice, Sarah Bouasse est spécialiste des odeurs et du parfum. Elle écrit notamment pour Nez, la revue olfactive depuis ses débuts. Par le bout du nez est son premier livre.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Driss Ghali,Diplomé en sciences politique et spécialiste des relations internationales.,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Lucile Peytavin,"Lucile Peytavin est historienne, spécialiste du travail des femmes dans l’artisanat et le commerce. Elle est experte dans la prise en charge des violences pour le cabinet Psytel. Elle est membre de l’Observatoire sur l’émancipation économique des femmes de la Fondation des femmes. Le Coût de la virilité est son premier essai.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Véra Nikolski,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Laélia Véron,"Laélia Véron est maitresse de conférences en stylistique et langue française à l&#39université d&#39Orléans, docteure en langue et littérature françaises, agrégée de lettres modernes et diplômée de l&#39ENS de Lyon. Elle travaille sur les liens entre langage et pouvoir. Elle est également
chroniqueuse sur France Inter et enseignante en milieu carcéral.

Karine Abiven est maitresse de conférences en langue française et analyse du discours à Sorbonne Université et membre de l&#39Institut universitaire de France. Spécialiste du récit, elle travaille sur les cultures narratives, ainsi que les écrits et chansons politiques d&#39Ancien Régime.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Christine van Geen,,
Yuval Noah Harari,"Recommandé par Mark Zuckerberg le dernier essai de Yuval Noah Harari est un best-seller mondial . De l&#39 âge de la pierre à la Silicon Valley, au carrefour des sciences et de la philosophie, ""
Sapiens"" interroge l &#39 histoire globale de l &#39 humanité à un rythme haletant. --L&#39obs

Voici un pavé de cinq cents pages sorti en septembre, mais qui aurait fait un excellent polar de l été. [...]
Un brillant travail de vulgarisation et une nécessaire mise en garde sur le
devenir de l humanité. --Le Monde des Religions",https://m.media-amazon.com/images/S/amzn-author-media-prod/jorjp12f9jbo3ojjmn1aacli7s._SY600_.jpg
Luc Gwiazdzinski,"Luc Gwiazdzinski est géographe, professeur à l’École nationale supérieure d’architecture de Toulouse (ENSAT). Ses travaux portent notamment sur la ville, les temporalités, la nuit. Il a dirigé de nombreux colloques, programmes de recherche et ouvrages sur ces questions. Il co-dirige les séminaires « Rythmologies » et « Nouvelles proximités » et « La fabrique des protocoles ».

Gilles Rabin est docteur en économie et et spécialiste de l’espace. Conseiller spatial à l’Ambassade de France en Allemagne Il a été directeur de l’innovation au Centre National d’Etudes Spatiales (CNES) et cadre dirigeant et consultant dans de grandes métropoles françaises et européennes.",
Nora Bussigny,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Lauren Bastide,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Rose Lamy,"Après avoir travaillé dans la musique et la communication, Rose Lamy a créé en 2019 le compte Instagram « Préparez-vous pour la bagarre », suivi aujourd’hui par près de 220 000 personnes. Son premier livre, Défaire le discours sexiste dans les médias (Lattès, 2021 ; Points, 2022), a rencontré un large succès commercial et critique.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Constance Vilanova,"Constance Vilanova, née en 1993, est journaliste indépendante pour Libération, Le Monde et Télérama. Elle tient également une chronique culture sur Mouv’ et est autrice pour « Affaires sensibles » sur France Inter. Passionnée de faits divers, de pop culture et de téléréalité depuis l’adolescence, elle décrypte cette actualité avec une grille de lecture féministe.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Layla Ben Afia,,https://m.media-amazon.com/images/S/amzn-author-media-prod/g7fc5595do8tmnop6q5c1t8n6u._SY600_.jpg
Bertrand Vergely,,
Pauline Harmange,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Alice Raybaud,"Alice Raybaud est journaliste au Monde, pour lequel elle documente les jeunesses. Nos puissantes amitiés est son premier ouvrage.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Marcel Gauchet,,
