Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
On n'ampute pas le cœur,19.0,"Au printemps 2023, une douleur aiguë, malheureusement familière, resurgit dans la jambe de Matthieu Lartot. Vingt-six ans après qu'il a été traité pour un sarcome, une nouvelle forme de ce cancer très rare réapparaît, encore plus agressive.
Cette fois, l'amputation est inévitable.

Devenu le Monsieur Rugby de France Télévisions, Matthieu décide de rendre publics sa maladie, son opération et l'objectif fou qu'il s'est fixé : être au rendez-vous de la Coupe du monde de rugby, qui s'ouvre deux mois plus tard. Il relève ce défi grâce à une détermination hors norme et à des rencontres qui ont transformé ce parcours du combattant en aventure humaine.
À travers ce témoignage, Matthieu Lartot souhaite transmettre son énergie tenace à ceux qui, comme lui, affrontent la maladie.",978-2221275320,https://m.media-amazon.com/images/I/51x44bjWdGL._SY522_.jpg,Robert Laffont (4 avril 2024),Matthieu Lartot
Jennifer Aniston: L'impossible bonheur,24.95,"Découvrez la fascinante histoire de l'une des actrices les plus emblématiques de notre époque. Plongez dans la vie d'une célébrité hors du commun : son parcours, ses succès et ses épreuves.

Cette biographie captivante retrace l'incroyable ascension de Jennifer Aniston, une « girl next door » californienne, enfant de la balle qui rêvait de faire mieux que ses parents. Légendaire Rachel de la série Friends, mariée un temps au sex-symbol de l'Amérique, Jennifer Aniston a gagné son statut d'icône et son étoile sur Hollywood boulevard.

Mais plus que l'actrice, c'est la femme qui mérite d'être connue. Son rêve de maternité brisé, son mariage ultra-compliqué avec Brad Pitt et les véritables raisons de leur rupture, ses relations jamais apaisées avec sa mère, sont autant d'épreuves qu'elle a su surmonter. Aux prises avec les démons de son ami Matthew Perry - c'est elle qui, la première, a deviné ses addictions - elle reste aujourd'hui le pilier de la famille de",978-2017234418,https://m.media-amazon.com/images/I/81DDkRmZFLL._SY522_.jpg,Hachette Pratique (15 mai 2024),Anaïs Maquiné Denecker
Incandescente pour toujours,19.0,"Professeure de chant de la Star Academy, Adeline Toniutti est LA révélation, sur TF1, de l'émission culte. Chaque semaine, sa flamboyance, son énergie, son expertise ont touché des millions de téléspectateurs. Derrière les feux des projecteurs, celle qu'on surnomme la « fille du facteur » ou la « soprano rock'n'roll » a réalisé un véritable parcours du combattant pour traverser les épreuves que la vie lui a infligées et pour retrouver le bonheur. Destinée à être chanteuse d'opéra, un accident domestique la prive de sa voix. Son compagnon se met alors à la maltraiter, les coups s'enchaînent, anorexie et chute sociale s'ensuivent. Cette vie, qui a pu la mener au bord du suicide, Adeline Toniutti nous la raconte dans Incandescente pour toujours. Intime, elle se livre, « l'âme dans la plume », à travers un récit poignant avec le ton et la force qu'on lui connaît, afin de nous rappeler : « Tant qu'on respire encore et qu'on ne nous a pas fermé les yeux, il faut se battre. »",978-2268110349,https://m.media-amazon.com/images/I/71L4QhM0B2L._SY522_.jpg,Editions du Rocher (3 avril 2024),Adeline Toniutti
"Moi, millionnaire ?",18.9,"L'incroyable destin de Bruno Hourcade, grand vainqueur des "" 12 Coups de Midi "" et recordman de victoires individuelles dans un jeu télé
Je n'étais, a priori, pas destiné aux paillettes des plateaux de télévision. Mais les livres, qui ont toujours été mes compagnons, ont guidé ma soif d'apprendre et de me cultiver. Une curiosité qui m'a propulsé, le 20 janvier 2021, sur le plateau des "" 12 Coups de Midi "", l'émission de jeu de culture générale la plus populaire de France, animée par le charismatique Jean-Luc Reichmann.

Neuf mois plus tard, je me retrouvais à la tête de plus d'un million d'euros. Un record en termes d'argent gagné, mais aussi de participations, deux-cent-cinquante-deux jours au total et une somme que je n'aurais jamais réussi à accumuler en toute une vie de travail.

Une aventure à peine imaginable que je vous propose de suivre à mes côtés en vous dévoilant au passage les coulisses de cette télévision qui a fait de moi un millionnaire.",978-2701404158,https://m.media-amazon.com/images/I/6149KCY9xWL._SY522_.jpg,Hors Collection (18 avril 2024),Bruno Hourcade
"How to Disappear: Erase Your Digital Footprint, Leave False Trails, And Vanish Without A Trace",17.09,"For the first time in paperback we bring you the authoritative and comprehensive guide for people who seek to protect their privacy as well as for anyone who's ever entertained the fantasy of disappearing--whether actually dropping out of sight or by eliminating the traceable evidence of their existence.
Written by the world's leading experts on finding people and helping people avoid being found, How to Disappearcovers everything from tools for disappearing to discovering and eliminating the nearly invisible tracks and clues we tend to leave wherever we go. Learn the three keys to disappearing, all about your electronic footprints, the dangers and opportunities of social networking sites, and how to disappear from a stalker.",978-1493045280,https://m.media-amazon.com/images/I/81BWNjBvqdL._SY522_.jpg,Lyons Press; Reprint édition (19 septembre 2019),Frank Ahearn
25 exercices Excel avec corrigés détaillés par étapes - Tome 1 – Niveau débutants & Intermédiaires: Avec 50 classeurs téléchargeables,14.27,"Ce manuel pédagogique propose des exercices corrigés pour aider les apprenants à maîtriser les fonctionnalités clés d'Excel. Il est destiné aux débutants qui souhaitent acquérir une solide base en Excel, ainsi qu'aux utilisateurs avancés qui cherchent à améliorer leurs compétences.
Les exercices pratiques couvrent un large éventail de fonctionnalités d'Excel, notamment les fonctions de base, les graphiques, les formules avancées et bien plus encore. Chaque exercice est accompagné d'instructions détaillées pour aider les utilisateurs à comprendre les étapes à suivre pour atteindre l'objectif.
Les corrigés complets sont inclus pour chaque exercice, ce qui permet aux utilisateurs de vérifier leur travail et de comprendre les erreurs éventuelles.
Ce manuel d’exercices Excel est idéal pour les personnes qui souhaitent se former de manière autonome, mais il peut également être utilisé par des formateurs pour enrichir leur enseignement et donner des devoirs à leurs étudiants. Les utilisateurs peuvent suivre leur progression en cochant les exercices qu'ils ont terminés et en notant les points qui nécessitent une attention particulière.
Il a été conçu pour les niveaux débutants (exercices identifiés avec 1 étoile) et pour les niveaux intermédiaires (exercices identifiés avec 2 étoiles).",979-8374038460,https://m.media-amazon.com/images/I/61MjaAstx2L._SY522_.jpg,Independently published (17 janvier 2023),Philippe RIQUELME
Le Guide Complet du SEO: Donnez de la visibilité à votre business en ligne grâce au SEO !,8.32,"Devenez le numéro 1 en ligne 🚀

Vous voulez donner de la visibilité à votre business en ligne, générer plus de trafic sur votre site web, et augmenter vos conversions ?

Ce livre est fait pour vous si vous voulez émerger en ligne sans le moindre investissement et simplement grâce à toutes les connaissances SEO engrangées à travers cet ouvrage.

Dans ce guide complet du SEO, vous allez découvrir :

Le fonctionnement des moteurs de recherche
Les astuces pour trouver les bons mots clés",979-8883092403,https://m.media-amazon.com/images/I/51MAwPyqf7L._SY522_.jpg,Independently published (31 mars 2024),Andréa Bensaid
Day Trading Attention: How to Actually Build Brand and Sales in the New Social Media World,6.01,"New York Times and USA Today Bestseller

“One thing I've learned being around Gary for the last decade is that when he sees new consumer trends or new best practices in marketing, people should listen and act on them.” — Michael Rubin, CEO of Fanatics
 In his seventh business book, bestselling author, entrepreneur, and investor Gary Vaynerchuk offers fresh, in-depth advice to enhance brand development, grow sales, and beat the competition using modern advertising strategies grounded in social media.",978-0063317598,https://m.media-amazon.com/images/I/81NcBSPYv3L._SY522_.jpg,Harper Business (21 mai 2024),Gary Vaynerchuk
Il vaso di Pandoro. Ascesa e caduta dei Ferragnez,13.93,"Il 15 dicembre del 2023 Chiara Ferragni, fashion blogger e imprenditrice digitale di fama internazionale all’apice del suo successo, viene multata dall’Antitrust per pratica commerciale scorretta. L’accusa è quella di aver spacciato un’operazione commerciale per un’iniziativa benefica destinata alle cure di bambini malati di tumore. La caduta dalla vetta è disastrosa e provoca la crisi di un impero che pareva scintillante e solidissimo: quello dei Ferragnez. In un attimo, la coppia da 45 milioni di like idolatrata da stampa e follower, non esiste più. Eppure, i segnali di un’imminente caduta c’erano già. Dalla sovraesposizione dei minori alla compulsiva ostentazione del privilegio, dall’attivismo ruffiano alla beneficenza opaca, nel suo libro Selvaggia Lucarelli ripercorre all’indietro la storia recente del fenomeno mediatico più discusso del Paese. Il vaso di Pandoro è una nuova inchiesta e la storia dell’inchiesta che ha cambiato per sempre il mondo degli influencer, imponendo più di una riflessione su come sia pericoloso, oggi, maneggiare un successo così incorporeo da svanire in un click. Fino ad un’angosciante conclusione: quel vaso di Pandoro, che sia sigillato o rovinosamente aperto, riguarda tutti noi.",979-1255430483,https://m.media-amazon.com/images/I/714PO3-KpdL._SY522_.jpg,PaperFIRST (14 mai 2024),Selvaggia Lucarelli
Discovery Discipline: La méthode radicale pour exceller en Product Discovery,8.72,"La méthode Discovery Discipline de Tristan Charvillat et Rémi Guyot est le fruit de 15 années d'expérience dans le Produit et le Design au sein de grandes startups du digital comme PayPal et BlaBlaCar.
Dans ce livre, ils dévoilent en détail les secrets qui permettent de transformer les problèmes en solutions, de gagner en vitesse d’exécution, en qualité et en confiance.

Vous y trouverez des réponses actionnables, pragmatiques et accessible à tous, grands groupes comme start-ups, pour enfin réconcilier vos activités d’innovation et votre réalité d’exécution.",978-2959120602,https://m.media-amazon.com/images/I/61NON+rBdAL._SY522_.jpg,Discovery Discipline (30 avril 2022),Tristan Charvillat
