Nom,Description,Photo
IG Media,,https://m.media-amazon.com/images/S/amzn-author-media-prod/ihcdde44dr4qblkflu3a73j6uf._SY600_.jpg
Bérengère Philippon,"Bérengère Philippon est coach en nutrition et auteure de plusieurs best-sellers vendus à plus de 300 000 exemplaires.
@0sucre_et_igbas


Photographe.",https://m.media-amazon.com/images/S/amzn-author-media-prod/hps0m5plop3jdiillahvn2ufd8._SY600_.jpg
Bérengère Philippon,"Bérengère Philippon est coach en nutrition et auteure de plusieurs best-sellers vendus à plus de 300 000 exemplaires.
@0sucre_et_igbas",https://m.media-amazon.com/images/S/amzn-author-media-prod/hps0m5plop3jdiillahvn2ufd8._SY600_.jpg
Ysaline Benakli,"Ysaline Benakli est titulaire du diplôme d’État de diététicienne nutritionniste. Passionnée par son métier et grande gourmande, il lui tient à cœur de plaider pour une vraie alimentation plaisir, équilibrée, sans restriction ni frustration. Elle tiens également à lutter contre les préjugés et les régimes (qui vont complètement à l’encontre d’une approche saine et santé). L’alimentation fait partie intégrante de nos vies, et c’est pourquoi il est tellement important de ne pas la négliger. Et puis… des repas sains et gourmands, c’est 2, 3, 4 (ou plus) moments de bonheur par jour !",
Nelly Genisson,"Co-animatrice du site EatFat2BeFit dédié à l&#39alimentation cétogène.

Co-animateur du site EatFat2BeFit dédié à l&#39alimentation cétogène.",
mmmEat,,
Monelle @not_so_superflu,"Après quelques années passées à travailler dans l&#39audiovisuel, Monelle s&#39épanouit en tant que maman et choisit d&#39allier sa vie de famille et son activité sur les réseaux sociaux. Devant le grand succès de ses rendez- vous quotidiens avec ses abonnés, elle concrétise son statut d&#39Influenceuse en proposant sur TikTok les recettes préférées de sa petite tribu, composée de son mari et de ses deux enfants, Marlon et Michelle. Certaines de ses vidéos peuvent récolter près de 600 000 likes et plus de 1,2 millions de personnes sont abonnées à sa chaîne.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Jessie Inchauspé,"Jessie Inchauspé est biochimiste, chercheuse en nutrition et spécialiste de la vulgarisation scientifique. Elle est française et vit aux États-Unis. Elle apprend quotidiennement à sa communauté Instagram @glucosegoddess comment lisser sa courbe de glycémie dans toutes les situations de la vie.",https://m.media-amazon.com/images/S/amzn-author-media-prod/f81u3u94dv0apd80u94utsmr96._SY600_.jpg
Anne Reymonet-Valers,,
mmmEat,,
Bérengère Philippon,"Bérengère Philippon est coach en nutrition et auteure de plusieurs best-sellers vendus à plus de 300 000 exemplaires.
@0sucre_et_igbas",https://m.media-amazon.com/images/S/amzn-author-media-prod/hps0m5plop3jdiillahvn2ufd8._SY600_.jpg
Anna GAINES,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Éléonore Moreau,,
Kyria Nichelatti,"Kyria a 33 ans, elle a étudié à l&#39université de Perpignan et est diplômée d&#39une licence d&#39economie et gestion ainsi que d&#39un master en management. Après avoir travaillé 7 ans dans la grande distribution, elle s&#39est lancée en novembre 2022 et a décidé de partager sa passion pour le sport et ses astuces de cuisine, sur TikTok, puis sur Instagram et enfin sur Youtube !",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Hans Peter Müller,,https://m.media-amazon.com/images/S/amzn-author-media-prod/kbfam7pltiv4pd3pkrjvo2tv69._SY600_.jpg
Ulrich Genisson,"Ulrich et Nelly Genisson animent EatFat2BeFit, le premier site internet français dédié à l&#39alimentation cétogène. Grâce au LCHF qu&#39ils pratiquent depuis 2013, tous deux ont retrouvé ligne et santé.",
Yotam Ottolenghi,"Yotam Ottolenghi est le restaurateur et chef-propriétaire des six établissements Ottolenghi à Londres, ainsi que des restaurants NOPI et ROVI. Il est l&#39auteur de huit livres de cuisine à succès, récompensés à de multiples reprises. Yotam est chroniqueur hebdomadaire pour le Guardian le samedi depuis plus de treize ans et contribue régulièrement au New York Times. Sa volonté de promouvoir les légumes, ainsi que les ingrédients autrefois considérés comme ""exotiques"", a conduit à ce que certains appellent ""l&#39effet Ottolenghi"". Cela désigne la création d&#39un repas riche en couleurs, saveurs, abondance et ensoleillement. Yotam vit à Londres avec sa famille.
ww.ottolenghi.co.uk @Ottolenghi",
Zoé NoGluten,"Zoé alias @zoe_nogluten, enseigne en classe de CE2. Elle a d&#39abord ouvert un blog pour partager ses trucs et astuces lorsque l&#39on ne peut pas consommer de gluten puis a développé avec succès des recettes sur Instagram. Elle développe aujourd&#39hui des farines dédiées aux intolérants au gluten.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Claire Sauge @claire_mum_fit__,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
