Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
LE POUVOIR DE LA PSYCHOLOGIE: 2 livres en 1 - Utilisez les lois de l'Analyse Comportementale et du Langage Corporel pour déchiffrer correctement les gens et deviner facilement ce qu'ils pensent.,18.9,"Imaginez que vous ayez le pouvoir de déchiffrer tous ceux que vous regardez et de lire en eux comme dans un livre ouvert, qu’ils soient vos amis, vos collègues, votre chef ou la personne que vous voulez conquérir.",979-8759760269,https://m.media-amazon.com/images/I/61j2she1BdL._SY522_.jpg,Independently published (4 novembre 2021),Robert Mercier
Dans la toile du Serial Killer: Plongez au cœur du true crime et découvrez 10 histoires vraies terrifiantes de tueurs en série et d’affaires criminelles,13.27,"Oseriez-vous le lire ?…
Vous tenez entre vos mains la clé d'un monde obscur et fascinant, un monde où la réalité surpasse de loin les fictions les plus sombres. « Dans la toile du Serial Killer » n'est pas simplement un recueil de récits glaçants sur des affaires criminels ; c'est une exploration inédite et profonde de l'esprit des tueurs en série les plus notoires de l'histoire.
Ce livre vous emporte au-delà des simples faits, dans les méandres de l'âme humaine, là où se nichent des vérités dérangeantes. Ici, vous ne trouverez pas de banale énumération d'actes macabres. Au contraire, chaque histoire est une plongée dans les psychés torturées de figures emblématiques telles que Ted Bundy, Gary Ridgway, Jeffrey Dahmer, et bien d'autres.",979-8871991596,https://m.media-amazon.com/images/I/71f+OTYuU5L._SY522_.jpg,Independently published (15 décembre 2023),Arthur Céleste
True Crime France: De vraies affaires criminelles,12.15,"Dans le cinquième volume de sa série True Crime, Adrian Langenscheid, auteur allemand de best-sellers sur les grandes affaires criminelles des dernières décennies, nous propose une fois de plus une lecture passionnante et addictive. Cette peinture à couper le souffle des abîmes glaçants de l’esprit humain réveille des émotions puissantes précisément en raison de la froideur et de la neutralité du récit.
Exemptes de tout sensationnalisme, les dix-huit nouvelles contenues dans ce livre relatent quelques-unes des affaires criminelles françaises les plus spectaculaires. C’est un recueil captivant de récits de meurtres, d'homicides involontaires, d'enlèvements, d'abus en tout genre, de fraudes, de trahisons et de vols qui conduisent le lecteur aux limites du supportable. Ces crimes ou délits impliquent des ""gens comme vous et moi"" ; des personnes dont la vie, en raison de circonstances tragiques, a basculé d’un jour à l’autre.
Avec une grande expertise et un sens remarquable de l'observation, l’auteur intègre dans de passionnants récits des éléments clés tirés d'audiences, de dossiers, d’évaluations psychologiques, d'interrogatoires et de rapports d'enquête.
La vie écrit des histoires terribles. Ce livre vous les raconte. Vous serez captivé, abasourdi, sidéré, bouleversé, vous remettrez en question tout ce que vous pensiez savoir sur la nature humaine.
Plongez, vous aussi, dans le monde hallucinant des vrais crimes bien réels. VRAI CRIME. Il suffit de faire défiler la page et de cliquer sur « ACHETER MAINTENANT EN 1 CLIC ».",978-3986610067,https://m.media-amazon.com/images/I/61XCs3C6MuL._SY522_.jpg,Pixa Heros (24 septembre 2021),Adrian Langenscheid
Tueurs nés: Ces enfants qui ont basculé (True crime/ Affaires criminelles/Histoires vraies/Faits divers),17.91,"TUEURS NÉS : CES ENFANTS QUI ONT BASCULÉ
L’enfant, pour nous tous, symbolise la pureté et l’innocence. C’est sans doute pour cette raison que nous ne nous attendons pas — ou nous nous refusons — à le retrouver sur les chemins qui mènent à la criminalité, d’autant plus quand celle-ci se traduit par d’effroyables meurtres commis de sang-froid. Pourtant, l’actualité nous fournit des exemples récurrents d’enfants et d’adolescents meurtriers: deux garçons qui enlèvent, torturent et tuent un troisième, un ado qui assassine ses parents pour pouvoir organiser une fête chez lui, ou encore une gamine qui pour vivre ses amours, élimine ses parents et son petit frère… À travers ces histoires qui ont fait basculer des familles dans l’horreur, l’auteure nous emporte dans ces faits divers qui ont défrayé la chronique en leur temps.",979-8445514183,https://m.media-amazon.com/images/I/71MWLk2JaQL._SY522_.jpg,Independently published (6 avril 2022),Esther Hervy
Tueurs en série: 41 portraits de serial killers,17.11,"Plus de 10 000 exemplaires vendus !
41 portraits de tueurs en série du monde entier : Afrique, Amérique du Sud, Asie, États-Unis, Canada, France, Grande-Bretagne et Russie.
Des portraits détaillés de Ted Bundy, Jack l'éventreur, Francis Heaulme, Jeffrey Dahmer, Paul Bernardo et Karla Homolka, Aileen Wuornos, Francisco de Assis Perreira, le Zodiac, Albert Fish, Belle Gunness, Marcel Barbeault, John Wayne Gacy, Gary Ridgway, Thierry Paulin, Ed Kemper, Anatoly Onoprienko et de nombreux autres !
Pour chacun, le portrait présente leur jeunesse, leurs crimes, leurs victimes, leur mode opératoire, leur motivation psychologique, ainsi qu'une bibliographie.",978-1520741581,https://m.media-amazon.com/images/I/71O483A2WhL._SY522_.jpg,Independently published (14 avril 2017),Emily Tibbatts
"Hypnose Conversationnelle à L'Extrême - 25 Techniques D'hypnose Conversationnelle, PNL et Psychologie Obscure Secrète Pour Dominer Et Manipuler, Même Par Inadvertance!",16.27,"HYPNOSE CONVERSATIONNELLE À L'EXTRÊME
★BONUS: Ressource gratuite : Hypnose Fulminante Ce Livre Est Spécialement Conçu Pour Vous Donner Tous Les Secrets De L'hypnose La Plus Puissante, Et Que Les Facultés De Psychologie Ne Veulent Pas Que Vous Sachiez
25 Techniques D'hypnose Conversationnelle, PNL et Psychologie Obscure Secrète Pour Dominer Et Manipuler, Même Par Inadvertance!
Voulez-vous influencer les autres d’une manière puissante et inaperçue, en utilisant l'hypnose conversationnelle et le pouvoir de la PNL?
Voulez-vous appliquer l’hypnose converasationnelle en utilisant des schémas de langage simples avec n’importe qui?",979-8776228490,https://m.media-amazon.com/images/I/61HaEYFz3OL._SY522_.jpg,Independently published (30 novembre 2021),Allan Trevor
"Copycat: Thriller psychologique, livre policier, roman à suspense",8.08,"Pendant la pandémie de Covid, j’ai ligoté et soumis mes proies, ils m’ont surnommé le Coronavioleur. Dernièrement, j’ai puni des prostituées, ils m’ont alors baptisé le Copycat. Ils ont prétendu que j’étais dealer, ingénieur, responsable de violences conjugales. Ils m’ont ensuite appelé Antéros, Ammout, Cyprien. Ils m’ont affublé de tous les sobriquets, de tous les pseudonymes, mais personne ne sait qui je suis. Le sais-je moi-même ?

Et vous, parviendrez-vous à deviner mon identité ?",978-2958728816,https://m.media-amazon.com/images/I/61Wp7OCRT-L._SY522_.jpg,AFNIL (1 mai 2024),Malik Grillon-Mixtur
DOMINATION MENTALE: 33 formules pratiques et gagnantes de Persuasion Avancée pour aller bien au-delà de la manipulation et garantir votre succès dans toutes les situations,14.95,"Vous est-il déjà arrivé de commencer un projet ou une négociation en sachant que vous réussiriez INÉVITABLEMENT ?


Une situation que vous maîtriseriez sans le moindre doute ?

C'est précisément ce que Robert Mercier appelle la ""Domination mentale"".",979-8403699730,https://m.media-amazon.com/images/I/61kILB7ZVUL._SY522_.jpg,Independently published (17 janvier 2022),Robert Mercier
Serial Killer Factbook - Volume 1: 50 Case Files of some of the World's Worst Serial Killers,18.46,"There are few things in this world more terrifying than serial killers - those compulsive human predators driven to stalk, torture, and murder again and again. What horrific alchemy of nature and nurture forges these remorseless killers? Those who escape their grasp whisper of the madness in their dead eyes, but their strange psychology remains enigmatic.

For centuries across the globe, serial killers have haunted communities and evaded authorities. Some suggest these monsters inspired the original tales of vampires and werewolves. In order to track these diabolical killers, investigators must become obsessed with profiling them through evidence and crime scenes to understand what drives them. Dedicated task forces assemble to share intelligence and trace the killers’ movements, matching wits in a lethal game of cat-and-mouse.

This volume of Serial Killer Factbook reveals the chilling truth about some of history’s most notorious serial killers, as well as overlooked ones who have faded into the past.

Each comprehensive profile delves deeply into the background, methods, motivations, and impact of these remorseless killers. You’ll discover how they chose their victims, lured them in, and carried out their horrendous crimes.

Each profile includes a background of the killer, describes their modus operandi, their weapons of choice, and how they carried out their horrendous crimes. You'll also read about the investigation that brought them to justice, as well as their trial and sentencing. Also included are details of the aftermath of their murders and interesting facts about each case.",979-8875860157,https://m.media-amazon.com/images/I/71Fr-rUJb7L._SY522_.jpg,Independently published (12 janvier 2024),Thora Blake
FINLANDE TRUE CRIME: De vraies affaires criminelles,12.99,"«Le diabolique nous attend au cœur du pays des 1000 lacs. Sans ménagement et avec précision, Langenscheid révèle les côtés les plus sombres de la Finlande.» - Dave Grunewald (Musicien/Influenceur)

«Morbide, bizarre, triste… À donner la chair de poule! »- Leonie-Rachel Soyel (Podcast Couchgeflüster)

« Pas besoin d’aller au sous-sol pour avoir la chair de poule. On éteint la lumière et on lit sous la lampe! » - Harmke Horst (Podcast Mantrailing/Entraîneur de chiens de détection de personnes)

«Rien n'est plus poignant et dérangeant que les histoires vraies. Tout fan de true crime doit lire les livres de Langenscheid.»",978-3986610890,https://m.media-amazon.com/images/I/612W3RFAO3L._SY522_.jpg,True Crime International (8 août 2023),Adrian Langenscheid
