Nom,Prix,Description,Isbn,Photo,Editeur,Auteur
"Vaincre ses Peurs grâce à la SOPHROLOGIE: Peurs, phobies et angoisses, Réveillez votre Courage",19.46,"Résumé : Dans cet ouvrage complet, découvrez toutes les ressources de la sophrologie pour combattre peurs, anxiété, phobie et manque de confiance en vous. Grâce à de nombreux exercices pratiques issus de cette discipline, apprenez à mieux gérer vos émotions, lâcher prise face au stress et avancer avec sérénité vers vos objectifs. Un guide indispensable pour retrouver un équilibre mental et la joie de vivre.

Idée centrale :La sophrologie renferme des trésors insoupçonnés pour vaincre peurs et timidité si vous savez comment l'utiliser à votre avantage. Ce livre vous en donne toutes les clés.

Problème traité : Souffrez-vous de phobies handicapantes (peur de parler en public, des espaces clos, du noir...) ? Stress, anxiété et pensées négatives parasitent-ils votre vie ? Manquez-vous singulièrement de confiance en vous, freinant vos relations ou votre carrière ?",979-8875706714,https://m.media-amazon.com/images/I/61ywyrR-m-L._SY522_.jpg,Independently published (10 janvier 2024),Sophie LAROCHE
"Vaincre ses Peurs grâce à la SOPHROLOGIE: Peurs, phobies et angoisses, Réveillez votre Courage",9.77,"Résumé : Dans cet ouvrage complet, découvrez toutes les ressources de la sophrologie pour combattre peurs, anxiété, phobie et manque de confiance en vous. Grâce à de nombreux exercices pratiques issus de cette discipline, apprenez à mieux gérer vos émotions, lâcher prise face au stress et avancer avec sérénité vers vos objectifs. Un guide indispensable pour retrouver un équilibre mental et la joie de vivre.

Idée centrale :La sophrologie renferme des trésors insoupçonnés pour vaincre peurs et timidité si vous savez comment l'utiliser à votre avantage. Ce livre vous en donne toutes les clés.

Problème traité : Souffrez-vous de phobies handicapantes (peur de parler en public, des espaces clos, du noir...) ? Stress, anxiété et pensées négatives parasitent-ils votre vie ? Manquez-vous singulièrement de confiance en vous, freinant vos relations ou votre carrière ?",979-8875706714,https://m.media-amazon.com/images/I/61ywyrR-m-L._SY522_.jpg,Independently published (10 janvier 2024),Sophie LAROCHE
Je vais aller mieux,19.62,"L’anxiété et le mal-être sont des choses qui te pourrissent la vie.
Tu imagines le pire dans chaque situation, tu ressasses le passé, tu appréhendes le futur, tu déprimes….
Bref, tu ne te sens jamais serein(e), alors que tu rêverais d’être heureux(se) comme les autres.

“Je vais aller mieux” est ton compagnon dans cette quête d’une vie meilleure. À l’intérieur, tu retrouveras:
- Des méthodes pour structurer tes pensées et tes émotions afin d’arrêter de te torturer l’esprit pour tout et rien.
-Des explications rassurantes et motivantes pour remplacer tes idées noires par des pensées plus sereines.",979-8321185742,https://m.media-amazon.com/images/I/41j8punDZrL._SY522_.jpg,Independently published (24 mars 2024),Capucine Marc
"Aujourd'hui je vais mal, Demain j'irai mieux.",14.85,"Dans ce livre, tu trouveras des conseils pour t'emmener sur le chemin de la guérison émotionnelle et de l'apaisement face au stress.

L'anxiété peut rendre la vie quotidienne difficile, envahir nos pensées, et nous empêcher d'être au meilleur de nous-mêmes. À travers des citations développées, des exercices pratiques, et des questions de développement personnel, ce livre est fait pour être un véritable soutien si tu traverses des périodes de déprime ou d'anxiété.

Chaque page, t'offre l'opportunité de mieux comprendre tes pensées, tes émotions et tes réactions.

Tu peux l'emporter partout avec toi afin de te donner un coup de main pour gérer ton stress. Utilise-le comme un véritable guide !",979-8858130598,https://m.media-amazon.com/images/I/41lYE+uGp8L._SY522_.jpg,Independently published (19 août 2023),Victoire Charlie
"CONFIANCE EN SOI EN 21 JOURS: La méthode de développement personnel pour avoir confiance en soi, savoir s'affirmer et redorer l'estime de soi",19.79,"Avez-vous souvent le sentiment de ne pas être à la hauteur ?
Vous dévalorisez-vous en permanence ?
Accordez-vous trop d’importance au jugement et au regard des autres ?

Vous n’arrivez pas à vous accepter tel que vous êtes. Vos complexes, vos blocages, vos peurs vous submergent et vous empêchent d’être vous-même.
Votre manque de confiance en vous perturbe l’équilibre général de votre vie. Il est à l’origine de nombreuses frustrations tant dans le domaine privé que professionnel. Il affecte la majorité de vos relations et vous contraint parfois d’accepter des situations inconfortables, car il vous est impossible de dire « non », par peur du rejet ou pire, de ne plus être aimé.",978-2958112219,https://m.media-amazon.com/images/I/61wzTWG2AUL._SY522_.jpg,Chantal Labeste (16 août 2022),Chantal Labeste
Baume au Coeur | Recueil de Récits Réconfortants pour égayer ton esprit dans les Moments de Nécessité,6.18,"Ce recueil est pour ceux et celles qui ont besoin d'une pause réconfortante, dans un monde parfois trop rapide.
Que vous traversiez une journée difficile ou que vous recherchiez simplement un instant de répit, ouvrez ""Baume au Coeur"" à une page au hasard et laissez-vous emporter par le message qui s'offre à vous comme un signe. Ce recueil devient ainsi votre refuge personnel, rappelant que la vie, malgré ses vicissitudes, est une aventure riche en enseignements.
Offrez-vous le cadeau d'une source de réconfort bien nécessaire et plongez dans ce trésor littéraire qui saura éclairer votre chemin, page après page.",979-8877253896,https://m.media-amazon.com/images/I/41ya2gfoO1L._SY522_.jpg,Independently published (24 janvier 2024),Une Réflexion
"Vaincre ses Peurs grâce à la SOPHROLOGIE: Peurs, phobies et angoisses, Réveillez votre Courage",11.92,"Résumé : Dans cet ouvrage complet, découvrez toutes les ressources de la sophrologie pour combattre peurs, anxiété, phobie et manque de confiance en vous. Grâce à de nombreux exercices pratiques issus de cette discipline, apprenez à mieux gérer vos émotions, lâcher prise face au stress et avancer avec sérénité vers vos objectifs. Un guide indispensable pour retrouver un équilibre mental et la joie de vivre.

Idée centrale :La sophrologie renferme des trésors insoupçonnés pour vaincre peurs et timidité si vous savez comment l'utiliser à votre avantage. Ce livre vous en donne toutes les clés.

Problème traité : Souffrez-vous de phobies handicapantes (peur de parler en public, des espaces clos, du noir...) ? Stress, anxiété et pensées négatives parasitent-ils votre vie ? Manquez-vous singulièrement de confiance en vous, freinant vos relations ou votre carrière ?",979-8875706714,https://m.media-amazon.com/images/I/61ywyrR-m-L._SY522_.jpg,Independently published (10 janvier 2024),Sophie LAROCHE
Mon Journal Anti Anxiété et Anti Stress: Ton Guide Anti Anxiété Quotidien pour Calmer ton Stress et Guérir ton Anxiété – Exercices Anti Crises ... Pensées Positives et Cultiver ton Bien-Être,14.04,"Anxiété, Stress ou Crises d'Angoisse font parties de ta vie ?

Diverses études scientifiques ont prouvé que la pratique quotidienne du journaling (écrire dans un journal anti anxiété) diminue l’anxiété et le stress de 50% !

Incroyable non ? Mais pas seulement !


En complétant ""Mon Journal Anti Anxiété et Anti Stress"", chaque jour pendant 2 mois :

✅ Tu calmes ton anxiété jusqu’à la voir totalement disparaitre
✅ Tu dis ciao aux crises d’angoisse handicapantes et terrorisantes à vivre
✅ Tu",,https://m.media-amazon.com/images/I/51DTkrnYCuL._SY522_.jpg,Independently published (16 avril 2024),Marika Ciaoanxiete
Le complexe de la tortue: Surmonter ses auto-sabotages et oser briller,16.9,"Jusqu'à quand vos autosaboteurs paralyseront-ils votre vie ?

Senna, styliste de mode talentueuse dont la carrière est au point mort, se débat dans une relation fusionnelle avec une mère étouffante. À 46 ans, sa vie professionnelle est une succession d’échecs et de rêves non aboutis. Quant à ses relations sentimentales, qui se résument à une collection d’aventures sans lendemain avec des hommes deux fois plus jeunes qu'elle, elles cachent un profond sentiment de solitude et une terrible mésestime d’elle-même.

À travers l’analyse du film ""Happy Birthday"", écrit et réalisé par Susan Walter, Anne-Claire FROGER met en lumière les mécanismes psychologiques à l’origine des blocages professionnels et amoureux de Senna, le personnage principal interprété par une Sharon Stone étonnante, qui se dévoile ici dans un registre inattendu.

Si vous aussi, vous vous heurtez dans votre vie à une succession de portes fermées et de déceptions, si vous remettez à demain vos projets les plus importants, faute d’y croire suffisamment, ou si un autosaboteur particulièrement actif se charge de réduire à néant les espoirs qui réussissent malgré tout à se faufiler jusqu’à vous, vous trouverez dans ce livre des clés qui vous ouvriront des portes insoupçonnées.

Vous découvrirez en quoi la crise que traversent les hommes et vos loyautés familiales inconscientes ont paralysé votre vie jusqu’à aujourd’hui, et comment réussir à vous en libérer pour enfin commencer à croire en vos rêves et les réaliser.",979-8672043500,https://m.media-amazon.com/images/I/61dO1Xx0T7L._SY522_.jpg,Independently published (3 août 2020),ANNE-CLAIRE FROGER
Demain sera meilleur,9.55,"Dans un monde fait de défis et d’incertitudes, les personnes souffrant d’anxiété peuvent avoir beaucoup de mal à trouver un peu de calme et à profiter de leur vie.

Tu ne te fais pas confiance, tu as des pensées négatives qui reviennent en boucle dans ton esprit et tu as toujours le sentiment de ne pas être et de ne pas faire assez.... Résultat: tu es épuisé.

Dans le livre ""Demain sera meilleur"", tu retrouveras:

- Des explications pour comprendre les causes de ton anxiété et de ton mal-être.
- Des méthodes pour apprendre a mieux gérer tes émotions.
- Des questions d'introspection afin de pouvoir te confier, et faire un véritable travail sur toi.",979-8322624004,https://m.media-amazon.com/images/I/41BDDrB90xL._SY522_.jpg,Independently published (11 avril 2024),Lucie Vie
