Nom,Description,Photo
Alessandro Villanucci,,https://m.media-amazon.com/images/S/amzn-author-media-prod/v30lvbqs16uibcpvkeji0r44mo._SY600_.jpg
Alessandro Villanucci,,https://m.media-amazon.com/images/S/amzn-author-media-prod/v30lvbqs16uibcpvkeji0r44mo._SY600_.jpg
Christian Walton,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Alessandro Villanucci,,https://m.media-amazon.com/images/S/amzn-author-media-prod/v30lvbqs16uibcpvkeji0r44mo._SY600_.jpg
Diana Carson,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Dorian Ritter,,https://m.media-amazon.com/images/S/amzn-author-media-prod/luc5vlf6416pdtgugon4e1uvhb._SY600_.jpg
Alessandro Villanucci,,https://m.media-amazon.com/images/S/amzn-author-media-prod/v30lvbqs16uibcpvkeji0r44mo._SY600_.jpg
Alessandro Villanucci,,https://m.media-amazon.com/images/S/amzn-author-media-prod/v30lvbqs16uibcpvkeji0r44mo._SY600_.jpg
Lugdivine Meytre,"Lugdivine est professeure de Pilates à Paris. Ancienne sportive de haut niveau en natation synchronisée, formée au Kundalini Yoga, elle organise des escapades de Pilates en France et à l&#39étranger.
Son dynamisme, son énergie et son professionnalisme ont conquis une large communauté (plus de 70K), qui la suit pour ses conseils bien-être et ses programmes sur son compte Instagram @ludipilates.",
Emma Lewis,,https://m.media-amazon.com/images/S/amzn-author-media-prod/i3076f5donkfa53gl5v6qmccbu._SY600_.jpg
Jane Hum,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Alessandro Villanucci,,https://m.media-amazon.com/images/S/amzn-author-media-prod/v30lvbqs16uibcpvkeji0r44mo._SY600_.jpg
Samuel Ganes,"Un livre complet et pratique qui met à l&#39honneur le yoga pour tous
Saviez-vous que les postures de yoga debout ne sont apparues que vers 1830 ? D&#39ailleurs, le terme sanskrit asana, qui correspond aux postures de yoga, signifie « le fait de s&#39asseoir ». Il est temps de revenir au yoga originel !
Que ce soit à travers les respirations, les postures ou les méditations, l&#39Upavistha Yoga se pratique assis sur une chaise. Vous pouvez donc vous y adonner quelles que soient votre condition physique ou votre mobilité et quel que soit votre environne­ment (dans votre salon, dans votre cuisine, dans un train, au bureau...). Cette méthode est à la fois complète, pratique et véritablement accessible à tous.
Après avoir expliqué les bases théoriques, Samuel Ganes vous fera entrer dans la pratique à travers des exercices de respiration, différentes postures mais aussi des mouvements et des séances de méditation. Enrichi de photographies pas à pas, ce livre vous propose également de nombreuses séances thématiques pour ressentir tous les bienfaits du yoga au quotidien",
Olivier Demouth,"Le Yoga du Son l’a foudroyé, comme touché en plein coeur, lui laissant un profond sentiment de reliance.

Enseignant de Yoga du Son et thérapeute, il partage la magie de la voix à travers des stages, une chaîne Youtube et Terre Etoilée, la première école en ligne de Yoga du Son. Son enseignement plonge ses racines dans diverses traditions pour cheminer vers une forme d’universalité du son A mi-chemin entre art, tradition et science moderne, cet enseignement vise à reconnecter chacun à sa propre sagesse intérieure.",https://m.media-amazon.com/images/S/amzn-author-media-prod/s1epl64n14r1b7r2rnjjk6p6e4._SY600_.jpg
Merton Corey,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Abby Ellsworth,"Abby Ellsworth est professeur agréé de Pilates et de yoga. Il dirige un centre de remise en forme à New York, très fréquenté par de nombreuses personnalités.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Alessandro Villanucci,,https://m.media-amazon.com/images/S/amzn-author-media-prod/v30lvbqs16uibcpvkeji0r44mo._SY600_.jpg
Patanjali,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
