Nom,Description,Photo
Julie Dachez,"Graphiste, illustratrice.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Yann Bouvier,"Ayant développé, enfant, un rapport sensible à l'histoire – le passé comme refuge aux douleurs du présent –, Yann Bouvier s'est, étudiant, passionné pour les imaginaires évanouis... et pour la rigueur qui caractérise la discipline historique. Professeur d'histoire et de géopolitique en lycée et chercheur associé au CMMC (Centre de la Méditerranée Moderne et Contemporaine), il a principalement travaillé sur les représentations (mentales) de l'Autre et de l'espace méditerranéen à l'époque moderne.
Depuis 2020, sous le pseudonyme de @YannToutCourt, il vulgarise l'histoire sur les réseaux sociaux. Attaché à rendre compréhensible au plus grand nombre la démarche des historiens, il s'attaque notamment aux idées reçues comme aux discours pseudo-historiques dans des capsules vidéo sourcées et nuancées qui, teintées d'humour, rencontrent un franc succès. Ses comptes rassemblent, à ce jour, plus de 940 000 abonnés.

Aussi loin qu'il s'en souvienne, Éloi Chevallier dessine. Tombé dans la marmite de la BD avant de savoir lire, Astérix et Tintin comme héros d'enfance, il préférait gribouiller sur ses cahiers que d'y écrire. Au collège, son meilleur ami l'initie à la création de BD. Séparés par un déménagement, ils s'envoient leurs planches par courrier et donnent vie à leurs imaginaires. Après un séjour au Japon où il s'initie au manga, il intègre la XXe promotion du programme "" Bande dessinée "" de l'université du Québec en Outaouais. Il achève son cursus à l'Académie de BD Delcourt, dont il est diplômé en 2021. Dans la foulée, il est choisi pour illustrer Microcosmes, son premier livre.

Lecture conseillée de 14 à 99 ans.",https://m.media-amazon.com/images/S/amzn-author-media-prod/epdpe7782dcgl395ggqoorku2q._SY600_.jpg
Didier Alcante,"Revue de presse
Issu d'une famille de pionniers de l'automobile, Laurent-Frédéric Bollée se passionne très vite pour le journalisme et la bande dessinée, au point d'en faire ses deux métiers. On lui doit ces dernières années plusieurs séries ou romans graphiques salués par la critique et le public : Terra Australis, Deadline (Glénat, 2013), XIII Mystery Billy Stockton (Dargaud, 2013), Contrecoups Malik Oussekine (Casterman, 2016). Il réalise actuellement la reprise du personnage de Bruno Brazil aux éditions du Lombard. En tant que journaliste sportif spécialiste des sports mécaniques, il a travaillé pour France 2, RMC, Motors TV et Eurosport. Réside en région parisienne. --Biographie 2

Denis Rodier est un dessinateur québécois. Il collabore très tôt aux séries les plus populaires d éditeurs américains comme Marvel et DC Comics. C est son travail sur la série Superman qui est le plus remarqué, en particulier l arc Death of Superman, lauréat de plusieurs prix. En Europe, on le connait surtout pour sa série L'Ordre de Dragons avec Jean-Luc Istin, sa suite, L Apogée des Dragons avec Corbeyran aux éditions Soleil, et le remarqué Arale avec Tristan Roulot chez Dargaud. Chez Glénat, il dessine Lénine dans la collection « Ils ont fait l Histoire ». Réside au Québec. --Biographie 3
Quatrième de couverture
L’incroyable histoire vraie de l’arme la plus effroyable jamais créée.

Le 6 août 1945, une bombe atomique ravage Hiroshima. Des dizaines de milliers de personnes sont instantanément pulvérisées. Et le monde entier découvre, horrifié, l’existence de la bombe atomique, première arme de destruction massive. Mais dans quel contexte, comment et par qui cet instrument de mort a-t-il pu être développé ?

Véritable saga de 450 pages, ce roman graphique raconte les coulisses et les personnages-clés de cet événement historique qui, en 2020, commémore son 75e anniversaire. Des mines d’uranium du Katanga jusqu’au Japon, en passant par l’Allemagne, la Norvège, l’URSS et le Nouveau-Mexique, c’est une succession de faits incroyables mais vrais qui se sont ainsi déroulés.

Tous ceux-ci sont ici racontés à hauteur d’hommes : qu’ils soient décideurs politiques (Roosevelt, Truman), scientifiques passés à la postérité (Einstein, Oppenheimer, Fermi...) ou acteurs majeurs demeurés méconnus, tels Leó Szilàrd (le personnage principal de cet album, un scientifique qui remua ciel et terre pour que les USA développent la bombe, puis fit l’impossible pour qu’ils ne l’utilisent jamais), Ebb Cade (un ouvrier afro-américain auquel on injecta à son insu du plutonium pour en étudier l’effet sur la santé) ou Leslie Groves (le général qui dirigea d’une main de fer le Projet Manhattan) – sans oublier, bien sûr, les habitants et la ville d’Hiroshima, reconstituée dans La Bombe de manière authentique.

Extrêmement documenté mais avant tout passionnant, comparable en cela à la série TV Chernobyl, cet ouvrage s’impose déjà comme le livre de référence sur l’histoire de la bombe atomique.




En lire plus",https://m.media-amazon.com/images/I/61I8KJQWTfL._SY600_.jpg
Ari Folman,"""Ce choix du duo de la Valse avec Bachir est une nouvelle chance pour Anne Frank d’être lue. L’excellent tandem donne envie de découvrir ou redécouvrir ce texte magnifique.""
Christelle Chandanson, Librairie Elkar, Bayonne, pour Page des libraires

""Adapter le Journal d'Anne Frank en bande dessinée, quel défi ! Ari Folman et David Polonsky l'ont relevé avec brio.""
Femme Actuelle

""ll fallait bien toute la délicatesse du duo qui avait signé le film d'animation Valse avec Bachir pour faire du Journal d'Anne Frank un roman graphique aussi beau qu'utile.
Version Femina

""Une magnifique adaptation de ce journal, à lire absolument dans les deux versions !""
Okapi

""Un album poignant et fort comme l'original""
Phosphore

""L'adaptation graphique du tandem Ari Folman et David Polonsky - les auteurs
du film d'animation Valse avec Bachir- est pleine de trouvailles, qui mettent en avant l'humour, la poésie, la gravité et la vivacité d'une héroïne universelle.
La Vie",
Riad Sattouf,"Ce quatrième tome du succès mondial L'Arabe du futur couvre les années 1987-1992.
Âgé de neuf ans au début de ce volume, le petit Riad devient adolescent. Une adolescence d'autant plus compliquée qu'il est tiraillé entre ses deux cultures - française et syrienne - et que ses parents ne s'entendent plus. Son père est parti seul travailler en Arabie saoudite et se tourne de plus en plus vers la religion... Sa mère est rentrée en Bretagne avec les enfants, elle ne supporte plus le virage religieux de son mari. C'est alors que la famille au complet doit retourner en Syrie...

Dans le premier tome (1978-1984), le petit Riad était ballotté, de sa naissance à ses six ans, entre la Libye de Kadhafi, la Bretagne de ses grands-parents et la Syrie de Hafez Al-Assad. Le deuxième tome (1984-1985) racontait sa première année d'école en Syrie. Le troisième tome (1985-1987) était celui de sa circoncision. Ce quatrième tome, exceptionnel par son format (288 pages) et par ce qu'il révèle (le coup d'État de son père), est le point d'orgue de la série.",https://m.media-amazon.com/images/S/amzn-author-media-prod/ih8sp89m4cqg44ki8td7d3dsqr._SY600_.jpg
Riad Sattouf,"Auteur de bandes dessinées et réalisateur, Riad Sattouf naît en 1978 à Paris. Il grandit entre la Libye, la Syrie et la Bretagne.
Il étudie les arts appliqués à Nantes, puis le cinéma d'animation à Paris, à l'école des Gobelins.

Il a publié Les Pauvres Aventures de Jérémie, Manuel du puceau, No sex in New York, Pipit Farlouse, Retour au collège, Pascal Brutal, La Vie secrète des jeunes, Les Cahiers d'Esther, le Jeune acteur et L'Arabe du futur.

Lauréat de nombreux prix internationaux (Los Angeles Times Graphic Novel Prize, Prix de l'excellence au Japan Media Arts Festival, Max und Moritz Prize), il est l'un des rares auteurs à avoir remporté le Fauve d'or (meilleur album) au Festival d'Angoulême à deux reprises, en 2010 et 2015.
La Bpi du Centre Pompidou lui consacre, en 2018, une exposition Riad Sattouf, l'écriture dessinée.

Il a réalisé deux longs-métrages : Les Beaux Gosses, en 2009 (César du meilleur premier film), et Jacky au royaume des filles, en 2014.",https://m.media-amazon.com/images/S/amzn-author-media-prod/ih8sp89m4cqg44ki8td7d3dsqr._SY600_.jpg
Alice Oseman,"Revue de presse
The UK's fastest-selling graphic novel ever ― The Guardian

Best in the series yet ― i newspaper

Nobody writes teenagers like Oseman: her characters feel so real and she handles their struggles - relationships, sex, family and mental illness - with great care and respect. Funny, romantic, and life-affirming, it is the perfect stocking filler for any teenager in your life ― The Observer

The Heartstopper series tells a time-old story of human affection, with a thoroughly wholesome glow...it's the slow suspense of the relationship, and the constant churn of emotion, that proves so absorbing ― The Telegraph

Another gorgeous graphic novel that you absolutely won't want to miss... For the millions of fans of this tender and heartfelt series, the next instalment will be a highlight of the year...These books have brought the genre of graphic novels to a whole new spectrum of readers and for good reason. ― GLAMOUR

Poignant ― The Metro
Quatrième de couverture
Nick and Charlie are very much in love. They've finally said those three little words, and Charlie has almost persuaded his mum to let him sleep over at Nick's house ... But with Nick going off to university next year, is everything about to change?

By Alice Oseman, winner of the YA Book Prize, Heartstopper encompasses all the small moments of Nick and Charlie's lives that together make up something larger, which speaks to all of us.

Contains discussions around mental health and eating disorders, and
En lire plus",https://m.media-amazon.com/images/I/A1kWphkYCFL._SY600_.jpg
Larcenet Manu,"""Un dessinateur au meilleur de son art."" --France Inter

""Larcenet installe une poésie sombre, que le dessin porte à incandescence"" --Télérama.fr

""Cette allégeance au clair-obscur décuple toute la puissance d'évocation du récit""
Le Monde des Livres

""Un trait personnel, puissant, qui surprend sans avoir peur de déranger""
Les Echos

""Rares seront les lecteurs à ne pas être ébranlés une fois l'album refermé"" --BD Gest'",https://m.media-amazon.com/images/I/61gzO-ts-eL._SY600_.jpg
Rachel Smythe,"Rachel Smythe is the creator of the Eisner Award-winning Lore Olympus, published via Webtoon.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Riad Sattouf,"Auteur de bandes dessinées et réalisateur, Riad Sattouf naît en 1978 à Paris. Il grandit entre la Libye, la Syrie et la Bretagne.
Il étudie les arts appliqués à Nantes, puis le cinéma d'animation à Paris, à l'école des Gobelins.

Il a publié Les Pauvres Aventures de Jérémie, Manuel du puceau, No sex in New York, Pipit Farlouse, Retour au collège, Pascal Brutal, La Vie secrète des jeunes, Les Cahiers d'Esther, le Jeune acteur et L'Arabe du futur.

Lauréat de nombreux prix internationaux (Los Angeles Times Graphic Novel Prize, Prix de l'excellence au Japan Media Arts Festival, Max und Moritz Prize), il est l'un des rares auteurs à avoir remporté le Fauve d'or (meilleur album) au Festival d'Angoulême à deux reprises, en 2010 et 2015.
La Bpi du Centre Pompidou lui consacre, en 2018, une exposition Riad Sattouf, l'écriture dessinée.

Il a réalisé deux longs-métrages : Les Beaux Gosses, en 2009 (César du meilleur premier film), et Jacky au royaume des filles, en 2014.",https://m.media-amazon.com/images/S/amzn-author-media-prod/ih8sp89m4cqg44ki8td7d3dsqr._SY600_.jpg
