Nom,Description,Photo
Richard L Haight,,https://m.media-amazon.com/images/S/amzn-author-media-prod/j5ldc49blb2292e6chon39tdh0._SY600_.jpg
Yoni Assouly,"Le docteur Yoni Assouly est diplômé de la faculté de médecine de Paris-Diderot en médecine générale. Après son internat, il a suivi des cycles complémentaires et obtenu plusieurs diplômes universitaires en alimentation-santé et micronutrition, en physionutrition et phytothérapie, en médecine nutritionnelle et fonctionnelle. Il est désormais installé à Marseille où il a ouvert son cabinet, le cabinet Almy. @dr_yoni_assouly",
Dr. Angela Fetzner,,https://m.media-amazon.com/images/S/amzn-author-media-prod/m90hom0ub4mq1g9o565fe888uu._SY600_.jpg
Kevin Trudeau,,
Isabel S Churchill,,https://m.media-amazon.com/images/S/amzn-author-media-prod/qvog9obcugf9adqo3qd7mf5og._SY600_.jpg
Lise Bourbeau,"Lise Bourbeau, née en 1941, est la fondatrice de l&#39école de développement personnel Écoute Ton Corps, créée au Québec en 1982. Son enseignement pratique et la philosophie simple qu&#39elle transmet aident des milliers de personnes à travers le monde à apporter des changements concrets dans leur quotidien. Reconnue comme enseignante et philosophe, elle est une conférencière très sollicitée par tous ceux qui aspirent à avoir une meilleure qualité de vie. En 1987, elle écrit son premier livre, intitulé Écoute ton corps, ton plus grand ami sur la Terre, et fonde sa propre maison d&#39édition, les Éditions E.T.C. Les livres de Lise Bourbeau se sont vendus à plus de 6,5 millions d&#39exemplaires. Ils sont traduits en 26 langues.
Écoute Ton Corps est la plus grande école de déve-loppement personnel au Québec. Son enseignement est diffusé dans 29 pays.

Pour plus d&#39informations au sujet de
Lise Bourbeau, consultez :
www.ecoutetoncorps.com",https://m.media-amazon.com/images/I/71RyiOqLpUL._SY600_.jpg
Jean-Philippe Brébion,"Jean-Philippe Brébion, est le concepteur de la Bioanalogie et l&#39auteur du best-seller « L&#39Empreinte de Naissance ». Sa proposition est de considérer que chacun de nous est un Univers Unique, Original et Singulier dans un présent permanent. Pour lui, l&#39Homme entre dans sa dimension quantique, dans l&#39ère de la Conscience, caractérisée par la non-causalité et la non-dualité. Son approche, permet à chacun d&#39aller au-delà du mental en utilisant des clés simples fondées sur des lois universelles. Ainsi, en intégrant que la vie est expérimentation permanente de la réalité concrète où chaque chose a sens, l&#39Homme en se révélant comme un Univers Unique, sort de son mode de survie animale.",https://m.media-amazon.com/images/I/31FViYJZgNL._SY600_.jpg
Stéphane LE COLAS,,https://m.media-amazon.com/images/S/amzn-author-media-prod/rqbik6midqj5alb66cgshrgdr4._SY600_.jpg
Eric Riquet,,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Marie Russo,,https://m.media-amazon.com/images/S/amzn-author-media-prod/76618tf4cchb6lf5mevu6h2sb5._SY600_.jpg
Richard L Haight,,https://m.media-amazon.com/images/S/amzn-author-media-prod/j5ldc49blb2292e6chon39tdh0._SY600_.jpg
Michel Odoul,[Michel Odoul] montre que la maladie ne se produit pas n&#39importe quand. [...] l&#39auteur permet de mieux comprendre pourquoi certains troubles nous arrivent à ce moment là de la vie. --Santé magazine,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Dr. Ameet Aggarwal ND,,https://m.media-amazon.com/images/S/amzn-author-media-prod/dull1jp528vhm6cftnt26k83kk._SY600_.jpg
Docteur Philippe Dransart,Philippe Dransart est médecin homéopathe et phytothérapeute. C&#39est suite au décès de sa mère en 1968 suite à un cancer foudroyant qu&#39il entreprend des études en psychiatrie et homéopathie pour comprendre les raisons de l’apparition de la maladie.,https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
M Jean Fidèle Angius,,
Michel Odoul,"Praticien shiatsu et fondateur de l&#39Institut français de shiatsu (formation professionnelle aux médecines douces), Michel Odoul est l&#39auteur de nombreux ouvrages parus chez Albin Michel : Dis-moi OÙ tu as mal, je te dirai pourquoi suivi de son « lexique » ; Dis-moi QUAND tu as mal, je te dirai pourquoi ; Cheveu, parle-moi de moi ; L&#39Harmonie des énergies ; Aux sources de la maladie ; Shiatsu fondamental (tomes 1, 2, 3) ; etc. Il est également conférencier et formateur : il intervient notamment à l&#39université de médecine de Strasbourg dans le cadre du DU Méditation et neurosciences, et à Eurostéo auprès d&#39ostéopathes, dans le cadre de la formation post-grade de Psychologie corporelle appliquée.",https://m.media-amazon.com/images/I/01Kv-W2ysOL._SY600_.png
Richard L Haight,,https://m.media-amazon.com/images/S/amzn-author-media-prod/j5ldc49blb2292e6chon39tdh0._SY600_.jpg
Etienne Drouard,,https://m.media-amazon.com/images/S/amzn-author-media-prod/5lmqk1o1bsbf8p1vn7cu1paqr7._SY600_.jpg
,,
