Nom,Description,Photo
Jeanne Yliss,,https://m.media-amazon.com/images/S/amzn-author-media-prod/2d9dthtpi0v01ivoe7mb2parkq._SY600_.jpg
Bessel van der Kolk,"Revue de presse
An astonishing and important book. The trauma Bible. I cannot recommend it enough for anyone struggling with...well...anything -- Tara Westover

Fascinating, hard to put down, and filled with powerful case histories. . . . the most important series of breakthroughs in mental health in the last thirty years -- Norman Doidge, author of The Brain That Changes Itself

A gripping bestseller about where trauma goes, and its disastrous effects on both individuals and societies. Deeply interesting. ― The Times

Nobody can stop talking about this book right now . . . you might want to listen -- Maddie Bender ― Men&#39s Health

Dr. van der Kolk&#39s masterpiece combines the boundless curiosity of the scientist, the erudition of the scholar, and the passion of the truth teller -- Judith Herman, M.D., author of Trauma and Recovery

Everyone should read this book -- Nigella Lawson

A seminal book that outlines the author&#39s pioneering work -- Thea Jane May ― Vogue

Draws on 30 years of experience to argue powerfully that trauma is one of the West&#39s most urgent public health issues... Packed with science and human stories ... van der Kolk has a lot to say, and the struggle and resilience of his patients is very moving ― New Scientist

Fundamental in understanding how our physical self is connected to all the things we go through and beyond -- Gemma Cairney

A masterpiece of powerful understanding and brave heartedness, one of the most intelligent and helpful works on trauma I have ever read. . . a brilliant synthesis of clinical cases, neuroscience, powerful tools and caring humanity, offering a whole new level of healing -- Jack Kornfied, author of A Path With Heart

Incredible -- William Leith, &#39Books of the Year&#39 ― Evening Standard
Quatrième de couverture
The effects of trauma can be devastating for sufferers, their families and future generations. Here one of the world&#39s experts on traumatic stress offers a bold new paradigm for treatment, moving away from standard talking and drug therapies and towards an alternative approach that heals mind, brain and body.
En lire plus",
Bessel A. Van der kolk,"Bessel van der Kolk est un psychiatre américain d&#39origine néerlandaise, spécialiste du syndrome de stress post-traumatique et professeur de psychiatrie à la Boston University. Il a fondé le Trauma Center de Boston. Son livre, Le corps n&#39oublie rien (Albin Michel, 2018), a été traduit dans plus de quinze langues et vendu à trois millions d&#39exemplaires.",https://m.media-amazon.com/images/S/amzn-author-media-prod/126pafdtmhtn6sn3idroaecn16._SY600_.jpg
Colleen West,,https://m.media-amazon.com/images/S/amzn-author-media-prod/arcrh0dkkp3tbj1vfod22j075o._SY600_.jpg
Dr. Ameet Aggarwal ND,,https://m.media-amazon.com/images/S/amzn-author-media-prod/dull1jp528vhm6cftnt26k83kk._SY600_.jpg
Armelle VAUTROT,,https://m.media-amazon.com/images/S/amzn-author-media-prod/4uaeh2pnjgekh5fobivb7e59fe._SY600_.jpg
,,
Dr. Linnea Passaler,"Revue de presse
“Heal Your Nervous System is a thoughtful exploration of nervous system dysregulation and its profound impact on health. Dr. Linnea Passaler offers a comprehensive approach, rooted in scientific research. This is a must-read for those seeking a deeper understanding of mind-body medicine.”
  ― Dr. Amy Shah, author of I’m So Effing Hungry

“This well-researched guide explores the critical link between mental and physical health. The 5-stage roadmap, based on cutting-edge neurobiology and sensitivity research, is highly relevant for medical professionals seeking a holistic understanding of mind-body health, and for patients seeking relief from chronic conditions.”
― Sara Gottfried MD, New York Times bestselling author of The Hormone Cure

“Heal Your Nervous System is a sensitive and sensible owner’s manual for your body and brain. Dr. Passaler helps you to better understand and manage your style of dealing with stress in a way that combines both acceptance of who you are and wisdom in getting to where you want to go.”
― David Spiegel, M.D., Willson Professor and Associate Chair of Psychiatry & Behavioral Sciences, Stan

""Dr. Linnea&#39s book is going to tackle one of the very core issues within our modern society that stops us from living a fulfilling life. Her book provides the perfect amount of science to help the reader understand their physiology, whilst also being an enjoyable read. The tools she provides are undoubtedly going to help a lot of people. Everyone needs to know about nervous system regulation and Dr. Linnea has done a fantastic job at laying it down for the world.""
― Nicole Vignola, neuroscientist and author of Rewire

""Assured, bursting with well-researched and effective insights, accessibly written, Heal Your Nervous System is a resource for anyone seeking to learn effective and easy-to-adapt tools towards finding calm, clarity, purpose, connection and, most of all, mind-body integration! I can personally attest that Dr. Linnea is a passionate, masterful ‘cognoscenti’ of the well-regulated nervous system. Whether you’re looking to adapt a less stressful response to life’s demands, uncover a core purpose or forge more soothing connections with loved ones this book will help you embark on a transformative journey. The Chapters on Connection and Expansion were my particular favorites!"" 
  ― Josh Korda, Buddhist Pastor, author of Unsubscribe
Quatrième de couverture
Relieve anxiety, burnout, feelings of overwhelm, and chronic physical symptoms by healing your dysregulated nervous system with this 5-stage roadmap based on the latest science.

Dr. Linnea Passaler has helped thousands globally in her digital health program address a wide range of symptoms associated with nervous system dysregulation―from mental symptoms, including anxiety, burnout, and brain fog, to physical symptoms, such as digestive issues, chronic inflammation, and fatigue. In Heal Your Nervous Sy
En lire plus",https://m.media-amazon.com/images/S/amzn-author-media-prod/7l27mssqpgccc2s2ohh8g9t738._SY600_.jpg
Corine AUROY,,
Dir. Maurice BERGER,,https://m.media-amazon.com/images/S/amzn-author-media-prod/h719mk053puutienha4nvjr28i._SY600_.jpg
Reiner Hartmann,,https://m.media-amazon.com/images/S/amzn-author-media-prod/7jtk72h5m18pvht9j8tb3epe4e._SY600_.jpg
Pascale Brillon,"Pascale Brillon est psychologue-psychothérapeute et professeure au Département de psychologie de l&#39Université du Québec à Montréal, où elle dirige le Laboratoire de recherche Trauma et Résilience. Elle est aussi la fondatrice de l&#39Institut Alpha de Montréal et rédactrice en chef de la revue Science et Comportement. Elle a reçu de nombreux prix soulignant l&#39excellence et le rayonnement de sa carrière et est régulièrement invitée à former des intervenants, des psychologues et des psychiatres au Canada, en France, en Suisse, en Belgique, au Luxembourg et dans les Antilles françaises.",
Oprah Winfrey,"Oprah Winfrey and renowned brain development and trauma expert, Dr Bruce Perry, discuss the impact of trauma and adverse experiences and how healing must begin with a shift to asking &#39What happened to you?&#39 rather than &#39What’s wrong with you?&#39.

Through wide-ranging and often deeply personal conversation, Oprah Winfrey and Dr Perry explore how what happens to us in early childhood – both good and bad - influences the people we become. They challenge us to shift from focusing on &#39What’s wrong with you?&#39 or &#39Why are you behaving that way?&#39 to asking &#39What happened to you?&#39. This simple change in perspective can open up a new and hopeful understanding for millions about why we do the things we do, why we are the way we are, providing a road map for repairing relationships, overcoming what seems insurmountable, and ultimately living better and more fulfilling lives.

Many of us experience adversity and trauma during childhood that has lasting impact on our physical and emotional health. And as we’re beginning to understand, we are more sensitive to developmental trauma as children than we are as adults. ‘What happened to us’ in childhood is a powerful predictor of our risk for physical and mental health problems down the road, and offers scientific insights into the patterns of behaviours so many struggle to understand.

A survivor of multiple childhood challenges herself, Oprah Winfrey shares portions of her own harrowing experiences because she understands the vulnerability that comes from facing trauma at a young age. Throughout her career, Oprah has teamed up with Dr Bruce Perry, one of the world’s leading experts on childhood trauma. He has treated thousands of children, youth, and adults and has been called on for decades to support individuals and communities following high-profile traumatic events. Now, Oprah joins forces with Dr Perry to marry the power of storytelling with the science and clinical experience to better understand and overcome the effects of trauma.

Grounded in the latest brain science and brought to life through compelling narratives, this book shines a light on a much-needed path to recovery – showing us our incredible capacity to transform after adversity.ines a light on a much-needed path to recovery – showing us our incredible capacity to transform after adversity.",
Anna Runkle,Anna Runkle helps people worldwide to heal trauma symptoms and change their lives. www.crappychildhoodfairy.com,https://m.media-amazon.com/images/S/amzn-author-media-prod/ts448hfhcc1ei5vjeun4nn3cfn._SY600_.jpg
